HolderAddress,TokenAmount
0xe19383a1389751bc31f4b25dbc9429e953749a0b,10
0x9b0d0ee22fa6858dd2791858139ae885686793cf,10
0x7a60a141b7389280a9680647a3b23690a2b9b8af,10
0x4de61016cf648522804818039579642452299b04,10
0x9440dbb5a2f114d3f04958f4437b531ea025af7e,10
0xa31322446260f58338435bd519f3a00a0d158091,10
0x99b1c566522b93a88cb7d282af247cb4f5dd32fe,10
0x0aaaac358f29ca7290f78651ae9b08285b5e16d4,10
0xc83c1c0ec641c55b2a74968d66d0a493690205a0,9
0x622b2aeb27596910f90d4e6248f796dbad1fc99e,9
0x36e10f7bb46a7e8a9000e20ac6bdc20721d15f1a,9
0xea2ad92161e43a96e3dd1f4f133758f319b9c9e0,9
0x1acfc7818b5b02329f9680ce6f2a6c33947b841d,9
0x8620f8676c61ddc91bf4f7981dd00dd0905042e7,9
0xe0e4b5f6c98207fcbc761476de28859541c842b7,9
0x29f905bd1593d471407f07a2bdbc5cf928558a8e,9
0x482c741b0711624d1f462e56ee5d8f776d5970dc,9
0xe336b85bf8c89479ebf0eedc2819a0abbd6bce36,9
0x8061fea6516bc87f3219dcba464a1b50378ec3dc,9
0x89d32b5593b6349858f248965926be98eacf621f,9
0x07a6d58cac8d98af26508635815ce1e56458c5a2,9
0x277cb97399e69b6fb99e0fd93c88a7cb1a6d4d16,9
0xf3dc235ff7025cef31e76c65c7fa7151f3343874,9
0xa6e950aa70ebaaf99686a5d95afe8aca8b5e353b,9
0x1df9a5aaf1eeb1bec44aeefa667fc04d5ad2ebc7,9
0x566dd107de9857cdfa11bfa26ca8f610bc40a0ae,9
0x42f3f76ba5202d7a4c48fd428b5613c657689bcc,9
0xa28e586e24e6d78d05e822188ddc118ac2fb034b,9
0xc4e9e5310d90b5cc782e900b316bc3b595e9c2f0,9
0x18799f860f9adb26e076d581603037f79342e0c0,9
0xf5a8ac14c00ec8e14237005749a69154df743203,9
0x70737e350082cb50428c0ed17988cc904347f3fa,8
0x91e0d232c14cb5a680ccab63134629efeb26cf39,8
0xe508ca502ab7cec51aaf87c6e5111935884d2bb1,8
0x3ef9f11226f24d239eaf63c142f4f212ecd37b04,8
0x2d17c4472c38029af27a0ea75b4186175e7436a4,8
0x7024dc438ee59a7b2fd406b13721f5abb0e423db,8
0x5db60d88755ebb70d05073d6b41f0f8d0122823a,8
0xaf53b814e16a1d68e704c41f6ea27b1cafa6e3d7,8
0x4d72d4269ab46962713ca19cab8161a87684a163,8
0xf2739ef0556253677337295ca49a7a11499f01d1,8
0x2d3c7d7827fc6269519a24e6f5edbd58b2aadbb3,8
0x31e8f645be07584c3c62690258eb4ea11e6cb95b,7
0xc5ce9a7524df197560cc04a74fefdb3feb075c68,7
0xefa5b2600dba10b03d9e6967582dd24bf02193fc,7
0x730b2c4709f387a29d718a74ecb973fc73c29070,7
0x3fe2bd23148bda8648313899b49b47f7d7cdf764,7
0xb5f347c5b5ca9046742640d4aa26cce02a6f355d,7
0x47d7de1d52c92516f51ab5b00f2abeb0ebbde692,7
0x4239d789d1479c7c0d085d1864abdfd8b4fe0ea1,7
0x1313cd5847a2256d73e290e23fcf9836110d76f5,7
0x19bebe4d8c466d75de20ebeec726f274de264e0a,7
0x91bd42dc8eae70f507751b978e0c2aa349d9fe32,7
0x73ab5ebbdea34ccdd9a87ba512b3ee54a061e4f9,7
0x65566631ac1d57ac717c5eedd562c27c5a8c9d6f,7
0x37f91c9a7d0bbf939d77e33441ebeff1d6187615,7
0xdbef0d40188c6e68c443cd5d71e2d7737119db23,7
0x1846f080015ab53c7a16ab463b5e6aad61b0ab5d,7
0xb431a216ba015a1e2db5bb3ffec335a272d90b2c,7
0x5d7bcc9a89775293fe70eea769562602a48a12b6,7
0x61da46095a7061bdd2c4b5401bd53e58e3588012,7
0x5703f5d81da197d82d9bc90c155e0656fcd4b737,7
0x0f607e317e6e1534e0c6eba4620ca4bccbd20ca5,7
0xcc0d0b539c5c08f4ca11bb15cb79758a034ac38f,7
0x19925d32ea737de44562b6b6f6daef9b257d5eb2,7
0xc330e99c16420ad690fc2ca47ff608a72410aa23,7
0x61bd20ccba182213e24223b1d3a9b4d0df5cea46,7
0x8c90ebc60c71038b91827e2d58d6779c6af98010,7
0x91364516d3cad16e1666261dbdbb39c881dbe9ee,7
0x3e27638518db964a71a0971c1f5bc7be6b6db77e,7
0x4b95e82077ca2e771ae021d9660882c1f421e29b,6
0xc5cd331c0919209cd98bc47b20fb18ee0d49f562,6
0xa75bffaa06349623195a6e4c2f46f9e42a1a3343,6
0xc46db2d89327d4c41eb81c43ed5e3dff111f9a8f,6
0x2858ce589592be3dbc4e65e653da10b73d7c42f2,6
0xb527787c366f7b4eaf6a1c9a229e52061dde9094,6
0x796bbedb76f07d51e6e9f416ea288b701a8078b6,6
0xf6ba9e07f27150cafac85226279f2e32e26fd477,6
0x9b0252108e88bc82404c98cf5cb02e8a8267082b,6
0x1b1f056e26d9b7bc09dacead39b2e902f1301508,6
0xcd71beb74eaafb7b1c4477d3be679146263481be,6
0x7f6c39c81438a70a8c8e624102861dc2fb8903fa,6
0xea8edabdba21f16db0f49ea3183e4c1b173b6fdc,6
0xcbf6443a48d3e5696dfebe4c916bea211af342b4,6
0x9d19fdbc6f5760e72f31b1d3fc32733b50c89080,6
0x1c70af2b86df6b0046643c3193db8da1ac1e508a,6
0xfcc9ee2ab1291a5635d5eb7fef4ab9eacc20daf3,6
0x32606c4aa95ea78d7c5b1e0e347e3e9ae451434e,6
0x8e53755655387ac6a7c7fbd2758cc370f51f6e87,6
0xa00321a1e6d63806447f752dcd597575635f181f,6
0x20c6c90839bb78e17bd7ac67734b416dff633256,6
0xafabe2fb2a70e31444a82e6faf43a67d5bc5d4a5,6
0x9a42d11c654207c729a1431e23dcc67611651acf,6
0xb3b873b45b002d19149acd69a2dbe19aeb7de0af,6
0x28e9eb009ba89740ddab3d7545f25d3fefc77242,6
0x954ed86b5c304d7ba760802b70f0d807f4a8d3f7,6
0x6d29803c2acddc6b9b1ff44b2226ffd70817d276,6
0xce2a22b4b52fc18e4343cc075e9fd8e6c438286f,5
0x2d76d141eb8456ee18f49f48287fdd357162c5aa,5
0xb7159f2a8380c8c84a6664916b59b1588670e6ec,5
0xffb7000ba44cbd619be0527136b4fd002ccd5292,5
0xf7fe024f8c4069f4003e3f452ebb6da04fbe656c,5
0x0477463312558bbfc34323a33bd838c278898cba,5
0xbd8c79740bf625f5054e86a2ce4e73879382f923,5
0xd12258a19168f9383eabbe3d2a61dda3cb0088d4,5
0x092b8a56946f993896f300e6302a84c04b8e7781,5
0xf7da35b4c01ca338d44dba3a88b50d642de0f319,5
0x19c3a650e519da6d0c6b9565b2537ea9cba7be72,5
0xbd50fb86bc870b5d76b3b10ebd9df77ae247e21c,5
0x31ec61c0fd16d3c7a0479eedb900d2898460716f,5
0x4f764a08c66251e13bdd85b4bb0652b739736328,5
0xd7492ae646cb1cd1b57f57fb6dc88446586b1186,5
0x2e9ec84be79701e2355624df15eb2c76c04a636f,5
0x7900305835bf7384db76190d5d3b0bba33d97fc0,5
0xd1785136d0f049a037d4c6e14836ec92f8ade29d,5
0x5ce574a747cb8a6ef14311cf19eb22fa0c58226b,5
0x49f5ac8dace13d75bf08e57168d8bbd4d7dbc0c6,5
0x5ae0b622d18491e4d121b7491dfb91013e9208fc,5
0x59510c1c5a5b9db77c3755692291b892bf342d1e,5
0x93e886c1fe12627bb02c111e9529a6698be72d64,5
0xa87a421b6830b92d27eab323b3a2aaa571e5c4ff,5
0x546f236713ffba75c81ebf3ca3d8e77ef81be125,5
0x997f4ec4a5c88db4736b95c692f27d5822f198e6,5
0x4e0ad2dd94ae7447a24e824c46061dbe983e0a1f,5
0x27073cd0d709d89c391af9767595d91c78ed43a7,5
0xf288b48050a4317941b69c4d7716263fbbe4265d,5
0x542895af4ec50cd2a659648d9918b60de0dce01c,5
0xf8b4b932305f196f34d63cd05d7376a258f22666,5
0x294ae4c4007b3a109b108ed0133648a73d3b8b1c,5
