Addr,Amount,Points,Coins
999AbxgQ1PevUbfZhmsAWWHgG4WsiRAtSu6Tn19rutv7,10,3,5028.735632
2v1Lfirrc9br2tFeBZaWeKpYhHpB74LtnvvEaUysLjrZ,10,3,5028.735632
8QvXMUU494K7AwRLtwNh6twRy6WYXmrgSrNZbYhdMnPU,10,3,5028.735632
4vSqvznfQckMKeG2R6vCAvuDV5PmHvLvnR8MeuurujrJ,10,3,5028.735632
FQSa9iFseGEg9xJgRubCGPL2LZKaHhRvXJEBDTcx9aV3,10,3,5028.735632
2t622e3ghMYUFGXzrgeiEhL4XW39zX4rSZJoZeB46cFT,10,3,5028.735632
H5VYRyWNgaGEwAKXmya2J9fUa3Ai6zhNAUTh5rzUm1o,10,3,5028.735632
G3mxSvzEdjxAeHdjY9S8Qk2V5hF9MJ3nj2jPHyDy3hzP,10,3,5028.735632
9nKU5NtV3JpLL3oSzriwZ9bXquKaUDS75pfpLmBKS4Q1,10,3,5028.735632
9bGgUYczJsvoqXopsgEEcrMWsZygACnZtDxXLb31YcEL,10,3,5028.735632
3WtcuP3gLmhnpR3r1GGQ7pg3hE2KybjrjEchfcfxayC3,10,3,5028.735632
B75EkcfVNtj7VraWKxazcr8xRsjkXTZFidAuPh6kwc5o,10,3,5028.735632
CQYjfkCmmj7HdNUbt1cAd51eSzUCcosyFGEFFxaH9Fhx,10,3,5028.735632
GQ4PQEKKTQQEwbQ4i4r6YopbP2X6GPWwuyGWZm2n3C5j,10,3,5028.735632
67JgSAJS4u7TzKhUunmbGwvPHK4BcDwv73BS2Am28Yvj,10,3,5028.735632
3hgbmDNZc3Hh11k5cx9xqcRtvRhMCLgWrrN6KrGTG6Eb,10,3,5028.735632
apexnLm9dqh6oRLJnR4L8H8yaanQLzw4kZf9A3ZyJJo,10,3,5028.735632
3ocZkDa8x7wFbcwjRfCFgCVQafhE5STSqZRKWF7oAW2v,10,3,5028.735632
2rktGcxfybJkRQDuMZFnk7dWohb3GpebzYffygedbY47,10,3,5028.735632
2UyHw9vVsCUQtwkPwDUEB9hp3zwiDKv4b2u1u9GRVeUB,10,3,5028.735632
52KzSVpYKpeviDFSQGTn8vDQzxf8pRHornYMoi7hKqvs,9,2,3352.490421
5chhHMDtKJSMufZGynWLFamNLvuH1zLsdYkfbwADURNJ,9,2,3352.490421
GdDcnyyP92Q7pYp5BJHRNQTrfqrcqAaxN2sKNfEGrkWV,9,2,3352.490421
8zQ9kEL6oVZmoXM5C2gW7vgz8qmG47N7Em2Y8ARf4ZeJ,9,2,3352.490421
HFyLZPi4Y6c3SAwCXptzsU19vQek8ojizdDvDsEuy526,9,2,3352.490421
2uhDFgUM6in3wscEPDh1VcqUxn4mVpicYma8sWosWptS,9,2,3352.490421
E3yssku228WBd6PyJFWmtuqM2NuitTcDNBLjYTggsdux,9,2,3352.490421
5wCaXtPRt2HudC37RF5UM3K1iXaMirV7EXYdUPunnq2j,9,2,3352.490421
9nzXbTcjUZiQi5iWKFEBRFdCQLoWHvFZqEsoDN8aurCn,9,2,3352.490421
3GmxbdM98scB58L5ftmwZs9jiMpJg67KmUjMTTxKxx4m,9,2,3352.490421
4RTgxY1PXX3XFnWDZEpN6iWdmTorifk5BFKKaG2zryJe,9,2,3352.490421
Dg9cTGxuWbKaNxRnLYywMiRvfxBsDcDfGEikhiZX6Kre,9,2,3352.490421
CA4jJw73eFxcfnPfYSURLdTj1nbotKEFRY2NgE9P5HPR,9,2,3352.490421
FHrvFurq8xUqCoMKrGZfpyDtusNYWRzH4thb2Mvvxim,9,2,3352.490421
FETUqB1if4Q8TN25GZksuw3vYrTyJk3deibKUR7VzXA8,9,2,3352.490421
32kRoQXxpFpuXo3VPz2rQKFHJKbtGMFmspuUkeQbVHNh,9,2,3352.490421
5o4x9HNsXUdaigZTi8RPkgoEj755S79FPDdvkDnq8gg6,9,2,3352.490421
HtXuYvqtJbuwhD9shZEJo9KbdjJzAmRNpVKTyHdpRPiT,9,2,3352.490421
7ALqfWWLmNgiBASJzdoSY3z5K5AWURYTyfXmztWpr3yL,9,2,3352.490421
DW7ao32GiQxnqqsqawLZcwE9YME8XmnTT8gx3og7ZLYZ,9,2,3352.490421
FPcBd2wAhcyiKPVDYAuyHHNyZwoS5pJP9ocwUESxruMy,9,2,3352.490421
jccEoR8EZfkPsN7LqD2kEhq5vEXnbHxbB9UjGQVYDXk,8,2,3352.490421
54kvFfjKv8aGtAUB34qkPd3Tm6VtpvcNTT6VEk6Xxao6,8,2,3352.490421
hh1ndnz8yRNPuGVvMToarHG4wUcTQoYMkBdyWGmMYiG,8,2,3352.490421
GDe9veLZgnSZzb2aryCqVrJgbpjPNp6xaV7o5fDDF3QF,8,2,3352.490421
8MevhUtJ5j4ueNiY4r9gkMtkaLyeT4HzGQwUoT9W1d52,8,2,3352.490421
F1xCjZMo6F7DcBMayM2bw4NsQRfM8mUREAM73f1JYWEg,8,2,3352.490421
8f9gKiBrYCCTqkhsurTa9fSAuB4KC8Q3Zp51wcfjC22A,8,2,3352.490421
5GiNb4UyFgB4ZbQtS1FG45zAsj7F6Zuej62errm8ueXA,8,2,3352.490421
87YUsMUGFqbugiU5QU7mavfnSoMtZQLxZWJi8tPCxUD,8,2,3352.490421
D6LpEgQJCV6ZU4yUFSJBHQ27JafABfhNQmTJ8ixn9MYf,8,2,3352.490421
WN3bN2vHHthDEXBMpZWD8eHEeHygLbnCXMD9eX8u8mP,8,2,3352.490421
EH3BvwhzA9tatT8nYS9x53m1e48Snjm5WHgnuiAEgCFK,8,2,3352.490421
CXTJhj2pvNJEBMrKoYTisv3r1SCqqqkGsUegHDMJ2hr6,8,2,3352.490421
HNg1qMN5kATvoQSjiD5mXk4WELV4vjnXZ13YqW24MzPC,8,2,3352.490421
GKdgX3ZjtUT7jkv2uj2Xbvp8oyNdNBDvApYeZN63Dap3,8,2,3352.490421
A9dPEdiMfgdn1tG7n3YBVYvjsRyXTocaMamAphyZFob3,8,2,3352.490421
EFLAFzCWVpKfYCDy8FnCkJFzB3D1gn2xcbPoSccZgSDh,8,2,3352.490421
HJbXTzASfZ4Zcpa7NsDaCsKcEZfqK8HBpVr6foo3rjuW,8,2,3352.490421
C4fbP1RRsWTWYGShw1A9g41trYGDqcSaws38cEgCmUKG,8,2,3352.490421
C5Q5TXuWmBBeCLEZK6L3jBqwodAPH5doM9YR1LDrCuuk,8,2,3352.490421
3i91b1PWR2qRrqnFPUaNyHM7a7bASfJGxXwWD6bqy1Ca,8,2,3352.490421
6c3Fa1LWY1CQLeBXHiJzk2q1ToHRb8oPYhbD2yahovzE,8,2,3352.490421
9HBds8mKYxcFist2oEqfwUTsJhdA5nwhndjmjaMphzDg,8,2,3352.490421
8jYCdHy496cMfGgjhBnrARfVsZARBtWV1gcq4DvKQr1H,8,2,3352.490421
FaTUYBZXUTPEyscs14mbgqpkjdbdjh8iCtW8yCi8RFYM,8,2,3352.490421
E1P7RX4WA2q7MPbTtMZVmsdD9W1hW4xDEiPWvo5XXSWs,8,2,3352.490421
5s7my2MtEsmWSwtmFL6mtUNSM72X9tBkFV5Jmut783KR,8,2,3352.490421
AL4JR8gMx8W2m773JUB38n1mUiMESYsA3kpcgkzjMQQ4,8,2,3352.490421
ABj6fqoRMjwamfQB1P6G8SNzc22uQ3GXanDTDQtxZQPh,8,2,3352.490421
3pnH4d58DNtx4Hxwvm22Lsz7d8WbrniSgxJuivAwiVjp,8,2,3352.490421
FaoK52i4wN7eRdYGLpHSVZeHcuydkFKQ4s9jLUVE2Aa6,8,2,3352.490421
BCAX7T6xMFfENtbNReEb2Fhq3WukbaZnyRChMeANrG8n,8,2,3352.490421
CqyTky6NXtnthXQcpqfsRgzpCDpoGaH7bz5o8nQZFeUj,8,2,3352.490421
5J2kNap6PgNCZLkpy9EW31uzp4DbiACq3querZL8KeqN,7,2,3352.490421
66ZUVrBZrEgdEqXkhUgSvE5HrV1gmvjRL5hWfVLDGwxP,7,2,3352.490421
Fu83RVFqSCi69qQESobZq1Gomq2a8RM1dJxmbDmc3Sis,7,2,3352.490421
Cu3wqb5zQ6jYd9eNBwK7W79KezrEyEsAeH9VNoKJWkGJ,7,2,3352.490421
2iAngwK4YxudnwTixy8oNFNA8bF4xXhWeF69aESH14vF,7,2,3352.490421
5Kg4p3rsk7fymreajXSReV61BirQTWSwDTtPAuffjNAL,7,2,3352.490421
4TTeUJPRKL6vPj94MpnBbhxrnX3ZZkBdofS5GE7NQxpt,7,2,3352.490421
