Address,Held,Points,Amount,
0x161c49f75f37a4f4922d19bbf1b92c08a410a8f4,"254,524.44",3,13846.15385,
0x0b375247de62dfd497a2c80e28190caafbd5907f,"253,442.19",3,13846.15385,
0x2ddccea13184186d49b00dde028c2e10b4bb8e6f,"249,270.19",3,13846.15385,
0x227dbb43a13c339dd94307199028a0c5d0c2ab6e,"248,658.07",3,13846.15385,
0xa6c9457f0fcacc6b053f50b7188af4593f99e6cb,"248,321.79",3,13846.15385,
0xd3639ff485d958ff1326c0616e36208535606939,"247,343.86",3,13846.15385,
0xed4879e5899bdab0642e188cd3de5e0255e356b3,"244,189.18",3,13846.15385,
0xb58b3f559b64e4ced7b7dc9aff915310c62cd2ab,"242,598.26",3,13846.15385,
0x27b76378dba83ea916d00a3de78c1ecc6beaf1c6,"238,520.19",3,13846.15385,
0xbecc574cb735ede08f3a744ad0098970d85d6a7a,"233,591.76",3,13846.15385,
0x08bae64a33d8defb53ee9df657bf343c559718c4,"231,214.23",3,13846.15385,
0x9053a9220bc89da0898194057dd7bcc3bf36e90c,"230,144.77",3,13846.15385,
0x72a02d91d48ca566fe0b83677306e8fccf284ad6,"229,384.14",3,13846.15385,
0x495ea8d1d774358e912dad6163e9c3b6e37077b9,"222,450.50",3,13846.15385,
0xc256257c3448802db17f344add35d13c14da4faa,"219,577.35",3,13846.15385,
0x9667f6c21086440d21b381c3f91c2759f192c854,"217,797.58",3,13846.15385,
0xbffc996f12c3a565a9d0fa31577b5d30ebbcda3b,"216,758.94",3,13846.15385,
0x44a4474be961b7683e34f2b204660a842e567e48,"214,721.34",3,13846.15385,
0xf366561c5c7d6508248c16f836368392fd7723a9,"212,460.70",3,13846.15385,
0xee9095f793493eb332204c8838f3337aa6e582b7,"208,662.81",3,13846.15385,
0x01fe9f0b37412498bc62f2086674ac9786d27e7f,"208,659.67",3,13846.15385,
0xd15cd937831ef368ec6de6947bb3e2714658e1cc,"204,570.77",3,13846.15385,
0x7c02f38de25611887c16b208f85f29ce625f4687,"203,654.12",3,13846.15385,
0xdd1f74a9bc67a74d1c0d24f9d17ff942c2181776,"203,608.41",3,13846.15385,
0x918fbd0720364aec87c021f63c8bd3dd6638aac8,"203,154.42",3,13846.15385,
0x618d8c0df790b95c1f0aa938304d9059037972dd,"200,574.73",3,13846.15385,
0xc23604faa1e8755c9ee391dc8938393c22c41793,"200,206.37",3,13846.15385,
